"NCBI.ID"	"KINGDOM"	"PHYLUM"	"CLASS"	"ORDER"	"FAMILY"	"GENUS"	"NCBI.NAMES"	"AGORA.NAMES"	"MODEL.NAMES"
"36"	1218102	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Alcaligenes"	"Alcaligenes faecalis subsp. faecalis NBRC 13111"	"Alcaligenes faecalis subsp. faecalis NBRC 13111"	"Alcaligenes_faecalis_subsp_faecalis_NBRC_13111"
"37"	1156918	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Alcaligenes"	"Alcaligenes faecalis subsp. faecalis NCIB 8687"	"Alcaligenes faecalis subsp. faecalis NCIB 8687"	"Alcaligenes_faecalis_subsp_faecalis_NCIB_8687"
"38"	679935	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"Alistipes finegoldii DSM 17242"	"Alistipes finegoldii DSM 17242"	"Alistipes_finegoldii_DSM_17242"
"39"	742725	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"Alistipes indistinctus YIT 12060"	"Alistipes indistinctus YIT 12060"	"Alistipes_indistinctus_YIT_12060"
"40"	1203611	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"Alistipes onderdonkii WAL 8169 = DSM 19147"	"Alistipes onderdonkii DSM 19147"	"Alistipes_onderdonkii_DSM_19147"
"41"	445970	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"Alistipes putredinis DSM 17216"	"Alistipes putredinis DSM 17216"	"Alistipes_putredinis_DSM_17216"
"42"	717959	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"Alistipes shahii WAL 8301"	"Alistipes shahii WAL 8301"	"Alistipes_shahii_WAL_8301"
"43"	626522	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	"Alloprevotella tannerae ATCC 51259"	"Alloprevotella tannerae ATCC 51259"	"Alloprevotella_tannerae_ATCC_51259"
"44"	592015	"Bacteria"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Acetomicrobium"	"Acetomicrobium hydrogeniformans ATCC BAA-1850"	"Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850"	"Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850"
"45"	1120988	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Succinivibrionaceae"	"Anaerobiospirillum"	"Anaerobiospirillum succiniciproducens DSM 6400"	"Anaerobiospirillum succiniciproducens DSM 640001"	"Anaerobiospirillum_succiniciproducens_DSM_640001"
"46"	561177	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerococcus"	"Anaerococcus hydrogenalis DSM 7454"	"Anaerococcus hydrogenalis DSM 7454"	"Anaerococcus_hydrogenalis_DSM_7454"
"47"	525919	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerococcus"	"Anaerococcus prevotii DSM 20548"	"Anaerococcus prevotii DSM 20548"	"Anaerococcus_prevotii_DSM_20548"
"48"	655811	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerococcus"	"Anaerococcus vaginalis ATCC 51170"	"Anaerococcus vaginalis ATCC 51170"	"Anaerococcus_vaginalis_ATCC_51170"
"49"	445971	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Anaerofustis"	"Anaerofustis stercorihominis DSM 17244"	"Anaerofustis stercorihominis DSM 17244"	"Anaerofustis_stercorihominis_DSM_17244"
"50"	411490	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"Anaerostipes caccae DSM 14662"	"Anaerostipes caccae DSM 14662"	"Anaerostipes_caccae_DSM_14662"
"51"	649757	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"Anaerostipes hadrus DSM 3319"	"Anaerostipes hadrus DSM 3319"	"Anaerostipes_hadrus_DSM_3319"
"52"	105841	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	"Anaerostipes caccae"	"Anaerostipes sp. 3_2_56FAA"	"Anaerostipes_sp_3_2_56FAA"
"53"	445972	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Anaerotruncus"	"Anaerotruncus colihominis DSM 17241"	"Anaerotruncus colihominis DSM 17241"	"Anaerotruncus_colihominis_DSM_17241"
"54"	649747	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Aneurinibacillus"	"Aneurinibacillus aneurinilyticus ATCC 12856"	"Aneurinibacillus aneurinilyticus ATCC 12856"	"Aneurinibacillus_aneurinilyticus_ATCC_12856"
