mets,metNames,metID,metFormulas,metCharges,metKEGGID,metHMDBID,b
ai17tcaacgam[c],"Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine",cpdAGORA0671,C313H548N24O255P24,-24,,,0
ai17tcaala_D[c],"Anteisoheptadecanoyllipoteichoic acid (n=24), linked, D-alanine substituted",cpdAGORA0672,C193H332N24O135P24,0,,,0
ai17tcaglc[c],"Anteisoheptadecanoyllipoteichoic acid (n=24), linked, glucose substituted",cpdAGORA0673,C265H476O255P24,-24,,,0
aicar[c],"5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide",cpdAGORA0674,C9H13N4O8P,-2,C04677,HMDB01517,0
aihpdcoa[c],"fa12coa,Anteiso-C17:0 CoA   Anteisoheptadecanoyl-CoA",cpdAGORA0675,C38H64N7O17P3S,-4,,,0
aipdcoa[c],"fa4coa,Anteiso-C15:0 CoA   Anteisopentadecanoyl-CoA",cpdAGORA0676,C36H60N7O17P3S,-4,,,0
air[c],"5-amino-1-(5-phospho-D-ribosyl)imidazole",cpdAGORA0677,C8H12N3O7P,-2,C03373,HMDB01235,0
akg[c],"2-Oxoglutarate",cpdAGORA0678,C5H4O5,-2,C00026,HMDB00208,0
ala_D[c],"D-alanine",cpdAGORA0679,C3H7NO2,0,C00133,HMDB01310,0
ala_L[c],"L-alanine",cpdAGORA0680,C3H7NO2,0,C00041,HMDB00161,0
ala_L[e],"L-alanine",cpdAGORA0681,C3H7NO2,0,C00041,HMDB00161,0
alaala[c],"D-Alanyl-D-alanine",cpdAGORA0682,C6H12N2O3,0,C00993,HMDB03459,0
alaasp[c],"L-alanyl-L-aspartate",cpdAGORA0683,C7H11N2O5,-1,,,0
alaasp[e],"L-alanyl-L-aspartate",cpdAGORA0684,C7H11N2O5,-1,,,0
alac_S[c],"(S)-2-Acetolactate",cpdAGORA0685,C5H7O4,-1,,,0
alagln[c],"L-alanyl-L-glutamine",cpdAGORA0686,C8H15N3O4,0,,,0
alagln[e],"L-alanyl-L-glutamine",cpdAGORA0687,C8H15N3O4,0,,,0
alaglu[c],"L-alanyl-L-glutamate",cpdAGORA0688,C8H13N2O5,-1,,,0
alaglu[e],"L-alanyl-L-glutamate",cpdAGORA0689,C8H13N2O5,-1,,,0
alagly[c],"L-alanylglycine",cpdAGORA0690,C5H10N2O3,0,,,0
alagly[e],"L-alanylglycine",cpdAGORA0691,C5H10N2O3,0,,,0
alahis[c],"L-alanyl-L-histidine",cpdAGORA0692,C9H14N4O3,0,C00386,,0
alahis[e],"L-alanyl-L-histidine",cpdAGORA0693,C9H14N4O3,0,C00386,,0
alaleu[c],"L-alanyl-L-leucine",cpdAGORA0694,C9H18N2O3,0,,,0
alaleu[e],"L-alanyl-L-leucine",cpdAGORA0695,C9H18N2O3,0,,,0
alathr[c],"L-alanyl-L-threonine",cpdAGORA0696,C7H14N2O4,0,,,0
alathr[e],"L-alanyl-L-threonine",cpdAGORA0697,C7H14N2O4,0,,,0
amet[c],"S-Adenosyl-L-methionine",cpdAGORA0698,C15H23N6O5S,1,C00019,HMDB01185,0
ametam[c],"S-Adenosylmethioninamine",cpdAGORA0699,C14H24N6O3S,2,C01137,HMDB00988,0
amp[c],"AMP",cpdAGORA0700,C10H12N5O7P,-2,C00020,HMDB00045,0
apoACP[c],"apoprotein [acyl carrier protein]",cpdAGORA0701,RHO,0,,,0
apoC_Lys_btn[c],"Holocarboxylase (biotin covalent bound to Lys residue of apoC)",cpdAGORA0702,C16H27N4O3SX,0,,,0
arab_L[c],"L-arabinose",cpdAGORA0703,C5H10O5,0,C00259,HMDB00646,0
arab_L[e],"L-arabinose",cpdAGORA0704,C5H10O5,0,C00259,HMDB00646,0
arg_L[c],"L-argininium(1+)",cpdAGORA0705,C6H15N4O2,1,C00062,HMDB00517,0
arg_L[e],"L-argininium(1+)",cpdAGORA0706,C6H15N4O2,1,C00062,HMDB00517,0
arsenb[c],"Arsenobetaine",cpdAGORA0707,C5H11AsO2,0,,,0
arsenb[e],"Arsenobetaine",cpdAGORA0708,C5H11AsO2,0,,,0
asn_L[c],"L-asparagine",cpdAGORA0709,C4H8N2O3,0,C00152,HMDB00168,0
asn_L[e],"L-asparagine",cpdAGORA0710,C4H8N2O3,0,C00152,HMDB00168,0
aso3[c],"arsenite",cpdAGORA0711,AsO3,-3,,,0
aso3[e],"arsenite",cpdAGORA0712,AsO3,-3,,,0
aso4[c],"arsenate",cpdAGORA0713,AsO4,-3,,,0
aso4[e],"arsenate",cpdAGORA0714,AsO4,-3,,,0
asp_L[c],"L-aspartate(1-)",cpdAGORA0715,C4H6NO4,-1,C00049,HMDB00191,0
asp_L[e],"L-aspartate(1-)",cpdAGORA0716,C4H6NO4,-1,C00049,HMDB00191,0
aspsa[c],"L-Aspartate 4-semialdehyde",cpdAGORA0717,C4H7NO3,0,,,0
atp[c],"ATP",cpdAGORA0718,C10H12N5O13P3,-4,C00002,HMDB00538,0
biomass[c],"Produced biomass",cpdAGORA0719,X,0,,,0
btal[c],"Butanal",cpdAGORA0720,C4H8O,0,,,0
btd_RR[c],"R_R__2_3_Butanediol",cpdAGORA0721,C4H10O2,0,,,0
btd_SS[c],"(S,S)-2,3-Butanediol",cpdAGORA0722,C4H10O2,0,,,0
btn[c],"Biotin",cpdAGORA0723,C10H15N2O3S,-1,C00120,HMDB00030,0
btn[e],"Biotin",cpdAGORA0724,C10H15N2O3S,-1,C00120,HMDB00030,0
btn_co2[c],"Carboxybiotin-carboxyl-carrier protein",cpdAGORA0725,C17H26N4O5SX,-1,,,0
btoh[c],"butanol",cpdAGORA0726,C4H10O,0,C06142,,0
butACP[c],"Butyryl-ACP (n-C4:0ACP)",cpdAGORA0727,C15H27N2O8PRS,-1,,,0
ca2[c],"calcium(2+)",cpdAGORA0728,Ca,2,C00076,HMDB00464,0
ca2[e],"calcium(2+)",cpdAGORA0729,Ca,2,C00076,HMDB00464,0
camp[c],"3,5-cyclic AMP(1-)",cpdAGORA0730,C10H11N5O6P,-1,C00575,HMDB00058,0
cbasp[c],"N-Carbamoyl-L-aspartate",cpdAGORA0731,C5H6N2O5,-2,C00438,HMDB00828,0
cbi[c],"Cobinamide",cpdAGORA0732,C48H72CoN11O8,0,,,0
cbl1[c],"Cob(I)alamin",cpdAGORA0733,C62H88CoN13O14P,-1,C00853,HMDB03429,0
cbl1[e],"Cob(I)alamin",cpdAGORA0734,C62H88CoN13O14P,-1,C00853,HMDB03429,0
cbl2[c],"Cob(II)alamin",cpdAGORA0735,C62H92CoN13O14P,0,C00541,HMDB06316,0
cbl2[e],"Cob(II)alamin",cpdAGORA0736,C62H92CoN13O14P,0,C00541,HMDB06316,0
cbp[c],"Carbamoyl phosphate",cpdAGORA0737,CH2NO5P,-2,C00169,HMDB01096,0
cd2[c],"Cadmium",cpdAGORA0738,Cd,2,,,0
cd2[e],"Cadmium",cpdAGORA0739,Cd,2,,,0
